type,title,description,image_url,external_link,popup_html
courses,Communication Ethics,,https://images.pexels.com/photos/1690351/pexels-photo-1690351.jpeg?cs=srgb&dl=abstract-abstract-expressionism-abstract-painting-1690351.jpg&fm=jpg,,test
courses,Ethics and Personal Relations,,https://images.pexels.com/photos/1223341/pexels-photo-1223341.jpeg?auto=compress&cs=tinysrgb&dpr=2&w=500,,
courses,Introduction to the Problems of Philosophy 2101,,https://images.pexels.com/photos/220783/pexels-photo-220783.jpeg?auto=compress&cs=tinysrgb&dpr=2&w=500,,
research,Metaphysics,,https://images.pexels.com/photos/838869/pexels-photo-838869.jpeg?auto=compress&cs=tinysrgb&dpr=2&w=500,,
research,Political philosophy,,https://images.pexels.com/photos/1089561/pexels-photo-1089561.jpeg?auto=compress&cs=tinysrgb&dpr=2&w=500,,
research,Moral philosophy,,https://images.pexels.com/photos/1774986/pexels-photo-1774986.jpeg?auto=compress&cs=tinysrgb&dpr=2&w=500,,
writing,A short polemic on men's rights,,https://images.pexels.com/photos/1755079/pexels-photo-1755079.jpeg?auto=compress&cs=tinysrgb&dpr=2&w=500,http://www.thecnnekt.com/stories/2018/1/21/a-short-polemic-on-mens-rights,
writing,[publication here],,https://images.pexels.com/photos/1223341/pexels-photo-1223341.jpeg?auto=compress&cs=tinysrgb&dpr=2&w=500,,
writing,[publication here],,https://images.pexels.com/photos/220783/pexels-photo-220783.jpeg?auto=compress&cs=tinysrgb&dpr=2&w=500,,
